Question,Answer1,Answer2,Answer3,CorrectAnswer
Which company makes the TI-83 calculator?,1) Acer,2) Sharp,"3) Texas Instruments ",3
Which of these sports does NOT typically use any kind of net?,1) Badminton,"2) American handball ",3) Ice hockey,2
What implement would you use to sweep dust from a floor?,"1) Broom ",2) Saucepan,3) Pliers,1
"In the old saying, when life gives you lemons you should do what?",1) Return those lemons,"2) Make lemonade ",3) Build a lemon house,2
"When the world’s oldest subway system opened, which was one of the stations?","1) Farringdon Street ",2) Union Square,3) Porte de Vincennes,1
The most common English word that ends in “-mt” is closely tied to which activity?,1) Eating,2) Bathing,"3) Sleeping ",3
Thomas Edison once set up a company to build affordable housing made out of what?,"1) Concrete ",2) Rubber,3) Plastic foam,1
"In the mid-’70s, who became Saturday Night Live’s first-ever musical guest?",1) Paul Simon,"2) Billy Preston ",3) NItty Gritty Dirt Band,2
Which of these nations does NOT lie on the Gulf of Bothnia?,1) Sweden,2) Finland,"3) Estonia ",3
The early computer program “OXO” played what game?,"1) Tic-tac-toe ",2) Minesweeper,3) Checkers,1
"By definition, a vexillologist is most likely to be interested in which of these things?",1) The Odyssey,"2) Union Jack ",3) The Riddle of the Sphinx,2
Which name does NOT typically appear on the label of a bottle of Tabasco sauce?,"1) Charpentier ",2) McIlhenny,3) Avery,1
Where did the famous “gentleman’s agreement” to end the U.S. Civil War take place?,"1) Virginia ",2) North Carolina,3) Georgia,1
Which of these numbers is the smallest?,1) Inches in a yard,"2) Tablespoons in a pint ",3) Seconds in a minute,2
Which of these is a form of precipitation?,1) Mail,2) Fail,"3) Hail ",3
What are omelets made out of?,1) Apps,"2) Eggs ",3) Imps,2
Why did the Chicago Daily Tribune rush to print the wrong winner of the 1948 presidential election?,"1) Workers' dispute ",2) To influence outcome,3) Inclement weather,1
"According to Icelandic tradition, where would you most likely find an Icelandic elf?",1) Arboreal canopies,2) Subbasements,"3) Igneous deposits ",3
"In 1958, a physicist used an oscilloscope to create what is considered the first what?",1) Graphing calculator,"2) Video game ",3) Wireless radio,2
Which of these was the name of one of Gap's original fragrances?,1) Eternity,"2) Grass ",3) Paradise,2
The only rock song to exit our solar system in hard-copy form is by what artist?,1) The Beatles,"2) Chuck Berry ",3) Little Richard,2
"In pregnancy, the ECV method uses what to change the baby’s position?",1) Sutures,"2) Pressing hands ",3) Cardiovascular exercise,2
"In the film that bears his name, what is John Wick’s “casus belli”?",1) Hostages,2) Money,"3) Puppy ",3
Which of these NBA teams has a female owner?,"1) Lakers ",2) Timberwolves,3) Pacers,1
"Botanically speaking, what type of fruit is an avocado?","1) Berry ",2) Gourd,3) Citrus,1
Which of these places calls itself “The City of Brotherly Love”?,1) Chicago,"2) Philadelphia ",3) Boston,2
“Alice’s Adventures in Wonderland” features which of these characters?,1) Paul Blart,2) King of Queens,"3) Queen of Hearts ",3
The person who helps a weightlifter is typically known as what?,1) Waiter,2) CEO,"3) Spotter ",3
Lady Godiva allegedly disrobed and rode a horse through the streets to oppose what?,"1) Taxation ",2) French influence,3) Religious decree,1
Which Supreme Court Chief Justice's portrait has NOT appeared on official U.S paper currency?,1) John Marshall,2) Salmon P. Chase,"3) William Taft ",3
What type of tutu was designed for Balanchine’s New York City Ballet?,1) Romantic,2) Pancake,"3) Powder Puff ",3
"What author is credited with coining the opening line, “It was a dark and stormy night”?","1) Edward Bulwer-Lytton ",2) Edgar Allan Poe,3) Mary Shelley,1
Which brand of sparkling water was commercially introduced first?,"1) Schweppes ",2) Perrier,3) S.Pellegrino,1
Which of these rivers forms at least part of the boundary of four U.S. states?,1) Rio Grande,"2) Delaware ",3) St. Lawrence,2
"In diamond rings, what shape best describes a “princess” cut?",1) Oval,2) Marquise,"3) Square ",3
Which of these newspapers was founded most recently?,1) Wall Street Journal,2) Washington Post,"3) USA Today ",3
How would you say “hello” in Mandarin Chinese?,1) Sup dawg,"2) Ni hao ",3) Quemero Numero Uno,2
Which of these refers to asking someone to an end-of-school-year dance?,1) Planking,"2) Promposal ",3) Sip n’ See,2
The author of which classic work was widely known for his hatred of the Eiffel Tower?,1) Les Misérables,"2) The Necklace ",3) Waiting for Godot,2
Sprinter Justin Gatlin once ran a record-breaking 100 meter sprint thanks to what advantage?,"1) Industrial fan ",2) Running downhill,3) Extreme high altitude,1
Which of these people has won the most Emmys for Outstanding Host of a Reality TV Show?,1) Howie Mandel,"2) Tom Bergeron ",3) Anthony Bourdain,2
Which company’s 2012 smartphones included Beats Audio technology?,1) Samsung,2) Apple,"3) HTC ",3
"During part of the Cold War, what city's MLB team added the word “legs” to its name?","1) Cincinnati ",2) Pittsburgh,3) Boston,1
What was the nickname of the first manned airplane to break the sound barrier?,"1) Glamorous Glennis ",2) Spirit of St. Louis,3) Project Rocket,1
Which of these U.S. presidents was NEVER a vice president?,"1) Herbert Hoover ",2) Richard Nixon,3) Gerald Ford,1
The skincare brand Aesop shares its name with a legendary what?,"1) Fabulist ",2) King,3) Farmer,1
Spider-Man is known for flinging what from his wrists?,1) Air freshener,"2) Webs ",3) Liquid cheese,2
Which of these is a common term for a very tall building?,1) Air tickler,"2) Skyscraper ",3) Cloud sniffer,2
Which of these items could FDR have used before he was president?,1) Beer can,"2) Scotch tape ",3) Ballpoint pen,2
Which of these contributed to John McEnroe's infamous Australian Open ejection?,1) Loose racket tape,"2) Crying baby ",3) Bird on the court,2
New Jersey native John Taylor is credited with creating what processed meat product?,1) Slim Jim,2) Frank 'n Stuff,"3) Pork Roll ",3
Which of these Emmas has a tattoo of a drawing by Paul McCartney?,1) Emma Watson,2) Emma Thompson,"3) Emma Stone ",3
"When microwave ovens were first sold, they were named for what technology?",1) Laser,"2) Radar ",3) X-ray,2
Madonna was inducted into the Rock &amp; Roll Hall of Fame by the singer of which song?,1) Crazy in Love,2) Toxic,"3) Cry Me a River ",3
"When it comes to math, which Greek letter is typically used to represent an angle?",1) Kappa,2) Lambda,"3) Theta ",3
Which of these island chains is in the Atlantic Ocean?,1) Marshall Islands,"2) Falkland Islands ",3) Svalbard,2
What name does Marlon Brando famously yell in a 1951 film?,1) Laura,"2) Stella ",3) Marge,2
"By definition, an ambulatory person is what?","1) Walking ",2) Making sounds,3) Hospital-bound,1
Which of these are typically used to help motorists see the road better?,1) NBA highlights,2) Turkish delights,"3) Headlights ",3
Which of these is NOT an official Tetris sequel?,1) Wordtris,"2) Maptris ",3) Welltris,2
"In western media, what are astronauts from China called?","1) Taikonauts ",2) Sinonauts,3) Spationauts,1
The part of a book disclosing its publication info is known as what?,1) Propindex,"2) Colophon ",3) Rectograf,2
Which Baby-Sitters Club member was NOT included in the film version?,1) Jessi,2) Logan,"3) Abby ",3
San Francisco's Waldo Tunnel was renamed in 2016 after a noted what?,"1) Actor ",2) Politician,3) Athlete,1
Nerf balls were initially marketed as the world’s first what?,1) Safety ball,"2) Indoor ball ",3) Baby ball,2
Where on the body would you find the manipura chakra?,"1) Over the belly button ",2) Within the heart,3) Between the eyes,1
Which of these words likely came into English through Yiddish?,"1) Glitch ",2) Ritzy,3) Kerfuffle,1
Which pair of countries can be found on the Horn of Africa?,1) Egypt / Ethiopia,"2) Ethiopia / Eritrea ",3) Eritrea / Egypt,2
Which planet is famous for its massive and picturesque rings?,1) Venus,"2) Saturn ",3) Mercury,2
Where is carpeting most commonly installed?,"1) Floors ",2) Walls,3) Roofs,1
Which of these is a popular form of live comedy?,"1) Stand-up ",2) Run-around,3) Lie-down,1
Which of these words can NOT be typed exclusively using one row of a QWERTY keyboard?,1) Powertripper,2) Typewriter,"3) Pirouetted ",3
Which Billy Joel album opens with a sound effect that’s appropriate to its title?,1) Storm Front,2) Turnstiles,"3) Glass Houses ",3
Which nation does NOT have land on the island of Borneo?,1) Malaysia,2) Indonesia,"3) Myanmar ",3
Which company provided audio equipment that helped Disney produce “Fantasia”?,1) Bang &amp; Olufsen,"2) Hewlett-Packard ",3) Dolby Laboratories,2
A famously counterintuitive logic puzzle is named for what game show host?,1) Bob Barker,2) Richard Dawson,"3) Monty Hall ",3
Basketball was invented in the U.S. state that is also home to which of these islands?,1) Hilton Head,2) Hatteras Island,"3) Martha's Vineyard ",3
Which of these animals is technically a fish?,1) Porpoise,2) Orca,"3) Whale shark ",3
Which of these is a synonym for the opposite of a financial bull market?,"1) Ursine market ",2) Taurine market,3) Porcine market,1
Rumspringa is a rite of passage among which of these groups?,1) Mormons,2) Jehovah's Witnesses,"3) Amish ",3
What form of singing was historically used to communicate between mountaintops?,"1) Yodeling ",2) Opera arias,3) Gregorian chanting,1
What are candles commonly made out of?,1) Old Legos,2) Greek yogurt,"3) Paraffin wax ",3
Which piece of clothing is meant to protect your head from the cold?,"1) Earmuffs ",2) Giant clock necklace,3) Toe socks,1
Which of the Queen's children has the most grandchildren?,1) Andrew,2) Charles,"3) Anne ",3
"In total, Britain has just over 9,800 miles of which of the following?","1) Railways ",2) Motorways,3) Canals,1
Which of these brands is NOT named after a person?,1) Boots,"2) Bisto ",3) Burberry,2
Which of these countries has the fewest land borders with other countries?,1) France,"2) Poland ",3) Austria,2
Which TV food competition winner opened the Wahaca chain of restaurants?,1) Nadiya Hussain,2) Candice Brown,"3) Thomasina Miers ",3
For which movie did Tom Hanks receive his most recent acting Oscar nomination?,"1) Cast Away ",2) Captain Phillips,3) Bridge of Spies,1
Which of these web services was developed in the Noughties by a Russian schoolboy?,"1) ChatRoulette ",2) Bebo,3) MySpace,1
Which of these Stephen King novels was written under a pseudonym?,1) The Shining,2) Salem's Lot,"3) The Running Man ",3
Which of these figures is known as “The History Guy” on social media?,1) David Starkey,"2) Dan Snow ",3) Simon Schama,2
What is the first name of Holly Willoughby’s regular co-host on “This Morning”?,1) Pete,"2) Phillip ",3) Paul,2
Which of these is the name of an English Test cricket ground?,"1) The Oval ",2) The Rectangle,3) The Trapezium,1
Which of these offers protection during a battle?,1) Scrunchie,"2) Armour ",3) Snapchat glasses,2
Which football club has a stand displaying an extract from the nineteenth book of the Old Testament?,1) Heart of Midlothian,2) Wigan Athletic,"3) West Bromwich Albion ",3
"In 2005, what did BBC chairman Michael Grade declare as his aim for the future of the network?",1) Monthly subscription,"2) Repeat-free zones ",3) Digital only,2
Where did the budget retailer Poundland open its first store in 1990?,1) Basildon,2) Blackpool,"3) Burton-upon-Trent ",3
"Since 2004, the World Chess Federation has had its headquarters in which city?",1) Oslo,2) Geneva,"3) Athens ",3
Which of these countries does NOT have the same name as its capital city?,1) Luxembourg,2) Djibouti,"3) El Salvador ",3
For which of these movies did Meryl Streep NOT win an Oscar?,"1) Out of Africa ",2) Sophie's Choice,3) The Iron Lady,1
"In Rome, which of these ingredients is used to flavour ciabatta bread?",1) Oyster Sauce,"2) Marjoram ",3) Fermented Black Beans,2
"Which Justin Timberlake hit contains the line ""she's flawless like some uncut ice""?","1) Lovestoned ",2) Senorita,3) Like I Love you,1
With whom did William Hewlett co-found a multi-national IT company?,1) Bill Gates,"2) David Packard ",3) Steve Jobs,2
What is the maximum score a player can get in a turn of three darts?,1) 100,2) 250,"3) 180 ",3
How is Jack Dawkins better known in a classic 19th century novel?,1) BoJack Horseman,2) Julius Caesar,"3) Artful Dodger ",3
Armenia and Estonia are former members of which group of countries?,"1) Soviet Union ",2) United States,3) United Kingdom,1
Which of these authors was over 50 when his first novel was published?,"1) Richard Adams ",2) J.R.R. Tolkien,3) Robert Ludlum,1
"As well as medals, what were winners given at the Rio Olympics' medal ceremonies?",1) Laurel wreaths,"2) Miniature statuettes ",3) Carnival masks,2
Which of these animals is NOT a marsupial?,1) Bandicoot,"2) Groundhog ",3) Opossum,2
"In an episode of “Friends”, what name was Ross supposed to say at his wedding ceremony instead of “Rachel”?",1) Julie,2) Elizabeth,"3) Emily ",3
"As of 2017, which of these industries had the highest percentage of the UK's GDP?","1) Service ",2) Travel,3) Construction,1
Which monarch laid the foundation stone at Balmoral Castle?,1) Edward VII,"2) Victoria ",3) William IV,2
Which character does Jude Law play in the movie “King Arthur: Legend of the Sword”?,"1) Vortigern ",2) Uther Pendragon,3) King Arthur,1
What part of the body is damaged if you break your tibia?,"1) Leg ",2) Arm,3) Scalp,1
“Chestnut” and “button” are types of which ingredient?,1) Grape,2) Carrot,"3) Mushroom ",3
Which object is usually in a conductor's hand during a performance?,1) Sleeping ferret,"2) Baton ",3) Box of tissues,2
What term is used for both a formal set of clothes and a set of playing cards?,"1) Suit ",2) Waistcoat,3) Tuxedo T-shirt,1
What town is home to the most works by the architect of Taliesin West and Graycliff?,"1) Oak Park, Illinois ","2) Columbus, Indiana","3) Calistoga, California",1
What was the first video game to call Mario by the name Mario?,1) Donkey Kong,2) Wrecking Crew,"3) Donkey Kong, Jr. ",3
Which writer has NOT held the position now known as U.S. Poet Laureate?,1) Elizabeth Bishop,2) Robert Frost,"3) Maya Angelou ",3
Which band had a member with the same stage name as a Revolutionary War admiral?,"1) Led Zeppelin ",2) Pink Floyd,3) The Kinks,1
Which website did the New York Times call “the people’s National Endowment for the Arts”?,1) Pinterest,2) Etsy,"3) Kickstarter ",3
How do you find the reciprocal of a number?,"1) Divide 1 by the number ",2) Square the number,3) Subtract it from zero,1
What area of London is synonymous with the city's world-class theater scene?,1) Chelsea,2) Knightsbridge,"3) West End ",3
What is the adjectival form of the word “governor”?,1) Gavernoric,"2) Gubernatorial ",3) Governorian,2
Which of these liquids comes from an udder?,"1) Milk ",2) Apple juice,3) Coffee,1
"In billiards, what color is a standard eight-ball?",1) Burnt sienna,2) Millennial pink,"3) Black ",3
Which baseball player is NOT mentioned in Billy Joel’s “We Didn’t Start the Fire”?,"1) Jackie Robinson ",2) Mickey Mantle,3) Roy Campanella,1
"According to the title of her hit 2015 song, how long is Rihanna from wildin'?","1) FourFiveSeconds ",2) A few hours or so,3) Depends on the traffic,1
Which CEO runs the NASDAQ-listed company with the highest market cap?,"1) Tim Cook ",2) Jeff Bezos,3) Satya Nadella,1
What Caribbean island was the birthplace of Alexander Hamilton?,1) St. Kitts,"2) Nevis ",3) Anguilla,2
Which of these past Olympic mascots was an animal?,1) Izzy,2) Wenlock,"3) Hodori ",3
"In the classic edition of Monopoly, which word appears in the name of two different spaces?","1) Pennsylvania ",2) Pacific,3) North,1
Who did NOT win back-to-back Best Actor Oscars?,"1) James Stewart ",2) Spencer Tracy,3) Tom Hanks,1
A person writing clearly and correctly is often said to be following “Strunk and” whom?,"1) White ",2) Follett,3) Robert,1
What medical device must legally be available at U.S. public gathering places?,1) Oxygen tank,"2) Defibrillator ",3) EpiPen,2
What animal is traditionally the source of fried calamari?,"1) Squid ",2) Eel,3) Octopus,1
Which ballroom dance is typically performed in 3/4 time?,1) Rumba,"2) Waltz ",3) Tango,2
The opening ceremonies of the Olympics have NOT won which major award?,"1) Tony ",2) Emmy,3) Grammy,1
From what do baby chicks hatch?,1) Aluminum cans,2) Compact cars,"3) Eggs ",3
"Earlier this decade, the billionaire creator behind what ’90s craze got busted for tax evasion?","1) Beanie Babies ",2) Tamagotchis,3) Slap bracelets,1
The Universalis Cosmographia is the first known map to feature what?,"1) The term 'America' ",2) Compass rose,3) Circumnavigable Earth,1
Which of these biblical names was most popular for American babies in 2016?,"1) Benjamin ",2) Jacob,3) Elijah,1
"By definition, a person with bad handwriting can be said to have what?",1) Paresthesia,2) Onychocryptosis,"3) Griffonage ",3
Which state’s capital is likely named for a Native American word meaning “good place to dig potatoes”?,1) Missouri,"2) Kansas ",3) Arkansas,2
Cinnamon is the primary flavoring of which liqueur?,"1) Goldschläger ",2) Frangelico,3) Drambuie,1
Which president raised wartime funds by keeping sheep on the White House lawn?,1) Dwight D. Eisenhower,2) Harry S. Truman,"3) Woodrow Wilson ",3
Which of these is an accurate statement about typhoons?,"1) Type of cyclone ",2) Originate as monsoons,3) Form south of equator,1
The title of the play “A Raisin in the Sun” comes from a poem by which author?,1) Maya Angelou,"2) Langston Hughes ",3) Toni Morrison,2
What university’s mascot is a cartoonish clergy member?,1) UC San Diego,"2) Wake Forest ",3) Notre Dame,2
Medicine you can buy without a prescription is said to be available over-the-what?,"1) Counter ",2) Transom,3) Rainbow,1
"In theater, what phrase means “good luck”?","1) Break a leg ",2) Kick the bucket,3) Cut a rug,1
"Jimi Hendrix, Frank Sinatra &amp; Bobby Darin all released songs with what name in the title?",1) Mary,2) Joe,"3) Dolly ",3
Which First Lady’s official portrait features her resting her hand on a large dog?,"1) Grace Coolidge ",2) Eleanor Roosevelt,3) Jacqueline Kennedy,1
Which of these states does NOT have an official governor’s mansion?,1) Alaska,"2) Idaho ",3) South Dakota,2
Which of these poets' best-known works is a villanelle?,1) Robert Frost,"2) Dylan Thomas ",3) T.S. Eliot,2
Which performer did NOT get booed while debuting at the Apollo Theater Amateur Night?,1) Lauryn Hill,"2) T-Pain ",3) Dave Chappelle,2
Which ingredient is typically listed first on jars of classic Nutella?,1) Hazelnuts,2) Cocoa,"3) Sugar ",3
A famous fossil found in an English cave has what cheesy name?,1) Stilton Man,2) Roquefort Man,"3) Cheddar Man ",3
“Go Blue!” is the rallying cry of what university’s sports team?,"1) U of Michigan ",2) Michigan State,3) Ohio State,1
Which of these is a part of the heart?,"1) Aorta ",2) Albedo,3) Avuncular,1
Habitat for Humanity is a charity known for building what?,1) Luxury yachts,2) Monster truck courses,"3) Houses ",3
"In a BLT sandwich, the “T” stands for what?",1) Tap water,2) Tunatini,"3) Tomato ",3
Which company was named after its founder’s unusual hairstyle?,"1) Kinko's ",2) Red Robin,3) Miracle-Gro,1
The top prize in architecture is named for the creator of what hotel chain?,"1) Hyatt ",2) Sheraton,3) Four Seasons,1
"In 2008, the creators of what startup raised funds by selling novelty breakfast cereals?",1) Kickstarter,"2) Airbnb ",3) Cards Against Humanity,2
The cooking technique now known as tempura originated in which of these places?,1) Hawaii,2) South Korea,"3) Portugal ",3
Which of these games is typically played using a deck with the fewest cards?,"1) Euchre ",2) Cribbage,3) Pinochle,1
Which action star is the creator of an eponymous martial art?,1) Jackie Chan,2) Steven Seagal,"3) Chuck Norris ",3
Which band featured a regular didgeridoo player?,1) Dexys Midnight Runners,"2) Jamiroquai ",3) O.A.R.,2
Which of these is a poetry term for a stanza with four lines?,1) Limerick,2) Haiku,"3) Quatrain ",3
Siri made its debut on which iPhone?,1) iPhone 4,2) iPhone 5,"3) iPhone 4S ",3
Who is considered the father of scientific classification?,1) Jose Reyes,"2) Carl Linnaeus ",3) Doctor Zaius,2
Which of these is a common machine used in construction?,1) Spoonlift,2) Sporklift,"3) Forklift ",3
"In the nursery rhyme, Mary had a little what?",1) Laryngitis,"2) Lamb ",3) Log,2
Matt Damon &amp; Ben Affleck appear uncredited in which baseball movie?,"1) Field of Dreams ",2) Moneyball,3) Fever Pitch,1
The longest-serving senator currently in office has been re-elected how many times?,"1) Seven times ",2) Four times,3) Nine times,1
Which of these terms does NOT refer to a sea slug?,"1) Sea pig ",2) Sea hare,3) Nudibranch,1
A controversial ‘90s episode of “Oprah” caused the price of which product to drop?,1) Diamonds,2) Soda,"3) Beef ",3
Daku is the pseudonym of a street artist known for his work in what city?,"1) New Delhi ",2) Tokyo,3) London,1
Which statement is true of the R&amp;B group “Tony! Toni! Toné!”?,1) Disbanded after 1 album,"2) No member named Tony ",3) Top single was a capella,2
A stylized depiction of the Matterhorn is featured in what corporate logo?,"1) Toblerone ",2) Paramount Pictures,3) The North Face,1
A tarantula hawk is a type of what?,1) Bird,2) Snake,"3) Wasp ",3
The popular abbreviation TFW usually stands for what?,"1) That Feeling When ","2) Too Funky, World",3) The Funniest Week,1
"According to the title of a classic horror movie, “The Hills Have” what?",1) Ugly Christmas sweaters,"2) Eyes ",3) So Many Questions,2
"In kickball, what are players meant to use to propel the ball onto the field?",1) Oven mitt,"2) Foot ",3) Stuffed jackalope,2
Which of these titles is currently held by nobody?,"1) Duke of Windsor ",2) Duke of Kent,3) Duke of Gloucester,1
Which fitness brand was established first?,"1) NordicTrack ",2) Bowflex,3) Thighmaster,1
Which philosopher directly inspired many of the lyrics on Radiohead’s “OK Computer”?,1) Friedrich Nietzsche,2) Adam Smith,"3) Noam Chomsky ",3
Which is NOT a correct pairing of tablet and tablet maker?,"1) Streak / Toshiba ",2) ATIV / Samsung,3) Xoom / Motorola,1
Nearly every episode of which TV show is named after a song title?,1) Glee,2) Gossip Girl,"3) Grey’s Anatomy ",3
What sport is often played with an item resembling a Buckminsterfullerene molecule?,1) Badminton,2) American football,"3) Soccer ",3
The director of “Lady Bird” starred in which indie movie?,1) Room,"2) Frances Ha ",3) Brooklyn,2
"In baseball, “Mendoza line” is a nickname for what?","1) .200 batting average ",2) Rubber on pitching mound,3) Hard-hit ball,1
Which of these is NOT a pseudonym?,1) George Eliot,2) George Orwell,"3) George Saunders ",3
Which of these is a national hamburger chain?,1) Puddchuckers,2) Huddsuckers,"3) Fuddruckers ",3
What is traditional to wear on St. Patrick’s Day?,1) Fancy gown,"2) The color green ",3) Minions onesie,2
Which animal is NOT depicted in Rembrandt’s “The Night Watch”?,"1) Mouse ",2) Chicken,3) Dog,1
"Before creating Hotmail, the two founders worked together at what company?",1) Hewlett-Packard,2) Microsoft,"3) Apple ",3
Which of these soprano singing ranges has the lowest tessitura?,1) Soubrette,2) Coloratura,"3) Dramatic ",3
Which of these toys has NOT been to space?,"1) Etch A Sketch ",2) Slinky,3) Lego,1
What rating does Dudley Moore give Bo Derek’s character in the film “10”?,"1) Higher than ten ",2) Lower than ten,3) Ten,1
Microblading eyebrows essentially consists of doing what?,"1) Drawing them in ",2) Trimming them,3) Plucking them,1
Which of these drinks is often classified into culinary and ceremonial grades?,1) Yerba mate,2) Kombucha,"3) Matcha ",3
The mosaic pavement streets of Rio de Janeiro contain numerous examples of what?,"1) QR codes ",2) Google Doodles,3) Emoji,1
Which household device was created by iRobot?,1) Nest,2) Robomow,"3) Roomba ",3
What foliage did Adam and Eve use to cover up?,1) Maple leaf,2) Black locust leaf,"3) Fig leaf ",3
"According to the Chinese zodiac, 2018 is now officially the Year of the what?","1) Dog ",2) Surly Neighbor,3) Careless Whisper,1
"In the Mother Goose nursery rhyme, what did Little Miss Muffet sit on?",1) Whoopee cushion,"2) Tuffet ",3) Blueberry muffin,2
The Hermès Birkin handbag was born thanks to a random meeting where?,"1) On an airplane ",2) At a museum,3) In a restaurant,1
Which U.S. island’s municipal bonds are NOT triple tax-exempt?,1) Culebra,"2) Molokai ",3) Cabras Island,2
"In a viral photo of Dwayne “The Rock"" Johnson in a turtleneck, what is his arm leaning on?",1) Ladder,2) Pillow,"3) Tissues ",3
"In the original children's book “Flat Stanley,” what falling item flattens Stanley?",1) Refrigerator,2) Baby grand piano,"3) Bulletin board ",3
Which of these is NOT a defunct Yahoo product?,"1) Leap ",2) Buzz,3) Mash,1
The wife of which of these writers inspired the title of a popular video game?,1) Ernest Hemingway,2) Arthur Miller,"3) F. Scott Fitzgerald ",3
"When it comes to clothing, what is peplum?",1) Shoulder pad,2) Neck seam,"3) Ruffle ",3
How is the first name of the lead actor of “The English Patient” pronounced?,1) “Rolf”,"2) “Rafe” ",3) “Ralf”,2
Which of these is NOT one of the first Starburst flavors?,1) Lime,2) Lemon,"3) Cherry ",3
Which of these sports is played with a paddle?,1) Lacrosse,"2) Pickleball ",3) Handball,2
Elephants are known for their sense of what?,1) Humor,"2) Smell ",3) Style,2
Which of these is a common type of salad?,"1) Caesar salad ",2) Cedar salad,3) Scenic salad,1
Which of these U.S. federal government positions comes with the highest annual salary?,"1) Postmaster General ",2) Secretary of the Army,3) Attorney General,1
What TV acting award has Julia Louis-Dreyfus won the fewest number of times?,"1) Golden Globe ",2) Primetime Emmy,3) SAG Award,1
Which of these famous buildings contains vomitoria?,1) The Parthenon,"2) Madison Square Garden ",3) Sistine Chapel,2
Which inventor boarded a steamer ship in 1913 and was never seen alive again?,1) Nikola Tesla,"2) Rudolf Diesel ",3) George Eastman,2
A key financial backer of the 1961 Freedom Rides was famous for recording which song?,"1) Jump in the Line ",2) A Change Is Gonna Come,3) The Candy Man,1
"Before the Industrial Revolution, American workers would typically stop around 11 a.m. to do what?",1) Take a nap,2) Play baseball,"3) Drink whiskey ",3
"In “Pulp Fiction,” Samuel L. Jackson claims his iconic monologue comes from what book of the Bible?","1) Ezekiel ",2) Leviticus,3) Exodus,1
During which holiday are the most greeting cards in the U.S. sold?,"1) Christmas ",2) Valentine's Day,3) Mother's Day,1
Which novel is set in a land named after the Latin word for “bread”?,1) The Silver Chair,"2) The Hunger Games ",3) Fahrenheit 451,2
"Traditionally made with cheese, what Swiss dish means “melted” in French?",1) Meringue,"2) Fondue ",3) Quiche,2
Neil Armstrong was the first person to do what?,1) Run a 4-minute mile,"2) Walk on the moon ",3) Dunk a basketball,2
Which of these U.S. TV shows airs earliest in the day?,1) Mad Money,"2) Good Morning America ",3) World News Tonight,2
How did Senator Strom Thurmond prepare for the longest-ever U.S. Congressional filibuster?,1) Inserted a feeding tube,"2) Took steam baths ",3) Got Vitamin B shots,2
The intro of TV’s “Wide World of Sports” pairs the phrase “agony of defeat” with what footage?,"1) Skier wiping out ",2) Race car crashing,3) Runner collapsing,1
Which of these animals does NOT possess chromatophores?,1) Cuttlefish,2) Zebrafish,"3) Peacock ",3
Which legendary writer used to live with Marlon Brando?,1) Jack Kerouac,2) Allen Ginsberg,"3) James Baldwin ",3
Ancient Egyptians shaved their eyebrows when what occurred?,1) Pharaoh became ill,"2) House cat passed away ",3) Harvest was bountiful,2
"Ron Perlman, Kris Kristofferson and Lynda Carter have all recorded voices for what video game series?","1) Fallout ",2) Grand Theft Auto,3) Halo,1
Which of these animals has a species named after Ferdinand Magellan?,"1) Penguin ",2) Otter,3) Dolphin,1
Which of these is a tool used for glass blowing?,1) Swage,2) Rotary cutter,"3) Punty ",3
Who is the reigning monarch of Great Britain?,"1) Queen Elizabeth ",2) Prince Paul,3) King Koopa,1
Hamburgers are usually made with what?,1) Yarn,"2) Ground beef ",3) Sweet dreams,2
Which of these performers was part of the first Lollapalooza festival lineup?,1) Soundgarden,2) Depeche Mode,"3) Ice-T ",3
What Canadian city aptly takes its name from a Cree term for “muddy water”?,"1) Winnipeg ",2) Ottawa,3) Toronto,1
"In 1997, Alabama’s state bar association put up a monument to whom?","1) Atticus Finch ",2) John Grisham,3) William Jennings Bryan,1
Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,"1) The Rock ",2) Con Air,3) Face/Off,1
Which of these is NOT a palindrome?,1) A Toyota's a Toyota,2) Was it a rat I saw?,"3) Walk sir, I’ll risk law ",3
"In the King James Bible, which of these measures “six cubits and a span”?",1) Stone tablet,2) Noah's Ark,"3) Goliath ",3
"What pop star first recorded under the same name as the so-called ""sailor's devil""?",1) Elton John,"2) David Bowie ",3) Freddie Mercury,2
"In Ancient Greece, Olympic athletes typically competed wearing what?",1) Togas,2) Laurel wreaths,"3) Nothing at all ",3
Who just became the youngest woman to win gold in Olympics snowboarding?,1) Khloé Kardashian,2) Chloë Grace Moretz,"3) Chloe Kim ",3
"In July of 2017, Joey Chestnut set a world record by consuming 72 what?",1) Pickles,"2) Hot dogs ",3) Raw oysters,2
"Who is Robert Downey, Jr.’s father?","1) Robert Downey, Sr. ",2) Chet Downey III,"3) Morton Downey, Jr.",1
The “Father of Art Deco” designed over 200 covers for which magazine?,1) New Yorker,"2) Harper’s Bazaar ",3) Vogue,2
What writer was the first to receive a MacArthur “genius” grant for science fiction?,"1) Octavia E. Butler ",2) Samuel R. Delany,3) Ursula K. Le Guin,1
"When written in all caps, which insult refers to a common type of computer user interface?",1) Clod,"2) Wimp ",3) Dolt,2
The 2008 Olympics were the first time the medals contained what material?,"1) Jade ",2) Amber,3) Coral,1
The painting “Washington Crosses the Delaware” has appeared on which state quarter?,"1) New Jersey ",2) Delaware,3) Washington,1
